image_id,filename,folder,file_path,capture_time,rating,pick,camera_model,lens,aperture,focal_length,iso,shutter_speed,Exposure2012,Contrast2012,Highlights2012,Shadows2012,Whites2012,Blacks2012,Texture,Clarity2012,Dehaze,Vibrance,Saturation,IncrementalTemperature,IncrementalTint,HueAdjustmentRed,HueAdjustmentOrange,HueAdjustmentYellow,HueAdjustmentGreen,HueAdjustmentAqua,HueAdjustmentBlue,HueAdjustmentPurple,HueAdjustmentMagenta,SaturationAdjustmentRed,SaturationAdjustmentOrange,SaturationAdjustmentYellow,SaturationAdjustmentGreen,SaturationAdjustmentAqua,SaturationAdjustmentBlue,SaturationAdjustmentPurple,SaturationAdjustmentMagenta,LuminanceAdjustmentRed,LuminanceAdjustmentOrange,LuminanceAdjustmentYellow,LuminanceAdjustmentGreen,LuminanceAdjustmentAqua,LuminanceAdjustmentBlue,LuminanceAdjustmentPurple,LuminanceAdjustmentMagenta,ColorGradeBlending,ColorGradeGlobalHue,ColorGradeGlobalSat,ColorGradeGlobalLum,ColorGradeShadowHue,ColorGradeShadowSat,ColorGradeShadowLum,ColorGradeMidtoneHue,ColorGradeMidtoneSat,ColorGradeMidtoneLum,ColorGradeHighlightHue,ColorGradeHighlightSat,ColorGradeHighlightLum,ShadowTint,RedHue,RedSaturation,GreenHue,GreenSaturation,BlueHue,BlueSaturation
615444,Screenshot 2025-12-15 at 3.00.28 pm.png,,Screenshot 2025-12-15 at 3.00.28 pm.png,2025-12-15T04:00:34,,0.0,,,,,,,2.1,82,-94,-5,-100,-87,-12.0,-12.0,11.0,55,52,,,6.0,,,,,-15.0,,,13.0,,,,,,,,39.0,16.0,14.0,5.0,,,,,50,0,0,0,,,0,0,0,0,,,0,-5.0,22.0,,74.0,,,
618282,DSC08454.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08454.ARW,2025-12-13T11:49:12.471,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,160.0,5.643856,0.48,6,-66,66,10,-13,,,,15,-2,7.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,,,0,0,0,0,,,0,,,,,,,
614396,DSC08454.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08454.ARW,2025-12-13T11:49:12.471,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,160.0,5.643856,1.02,-9,-59,6,-77,-16,-12.0,-12.0,11.0,5,0,-7.0,0.0,6.0,,,,,-12.0,,,12.0,,,,,-1.0,,,15.0,9.0,14.0,5.0,,,,,50,0,0,0,,,0,0,0,0,,,0,-3.0,23.0,,73.0,,,
625919,DSC08445.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08445.ARW,2025-12-13T11:44:00.734,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,125.0,5.321928,0.93,-10,-48,7,-78,-28,-11.0,-12.0,11.0,1,5,104.0,11.0,6.0,-6.0,-32.0,9.0,,-11.0,-2.0,59.0,12.0,-7.0,-3.0,-23.0,,-10.0,-51.0,-51.0,22.0,15.0,13.0,5.0,4.0,13.0,,,50,0,0,0,,,11,158,17,15,,,0,-11.0,27.0,,72.0,,-13.0,
625291,DSC08445.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08445.ARW,2025-12-13T11:44:00.734,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,125.0,5.321928,0.73,-22,-69,-7,-84,-13,-12.0,-12.0,11.0,6,6,-90.0,-2.0,6.0,,,,,-9.0,,-1.0,9.0,,,,,,-1.0,-1.0,13.0,12.0,15.0,5.0,,,,,50,0,0,0,,,0,3,0,0,,,0,-7.0,24.0,,77.0,,,
625126,DSC08445.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08445.ARW,2025-12-13T11:44:00.734,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,125.0,5.321928,1.03,-28,-58,2,-77,-38,-12.0,-12.0,11.0,3,8,184.0,-4.0,6.0,,,,,-11.0,,-1.0,12.0,,,,,,,,31.0,14.0,15.0,5.0,,,,,50,0,0,0,,,0,5,0,0,,,0,-14.0,26.0,,75.0,,,
624989,DSC08445.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08445.ARW,2025-12-13T11:44:00.734,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,125.0,5.321928,0.74,-22,-67,-10,-81,-17,-12.0,-12.0,11.0,3,7,996.0,16.0,6.0,,,,,-10.0,,-1.0,10.0,,,,,,,,20.0,13.0,15.0,5.0,,,,,50,0,0,0,,,0,11,0,0,,,0,-13.0,24.0,,74.0,,,
618326,DSC08445.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08445.ARW,2025-12-13T11:44:00.734,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,125.0,5.321928,0.17,6,-63,57,0,-19,,,,12,-1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,,,0,0,0,0,,,0,,,,,,,
614406,DSC08445.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08445.ARW,2025-12-13T11:44:00.734,,1.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,125.0,5.321928,0.8,0,-72,-13,-78,6,-12.0,-12.0,11.0,6,0,0.0,7.0,6.0,,,,,-9.0,,3.0,6.0,,,,,,,,2.0,8.0,15.0,5.0,,-2.0,,,50,0,0,0,,,0,28,4,0,,,0,-1.0,24.0,,70.0,,,
614405,DSC08444.ARW,2025/2025-12-13/,2025/2025-12-13/DSC08444.ARW,2025-12-13T11:44:00.198,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,125.0,5.321928,0.31,-7,-6,-2,-5,-13,,0.0,-12.0,12,22,2161.0,8.0,-1.0,-2.0,-1.0,15.0,4.0,1.0,15.0,13.0,-2.0,-10.0,-26.0,-32.0,-36.0,-31.0,-9.0,-9.0,-6.0,-13.0,-11.0,-5.0,-6.0,6.0,3.0,-2.0,50,0,0,0,,,0,0,0,0,,,0,,19.0,-10.0,29.0,17.0,-14.0,-6.0
605203,DSC08396.ARW,2025/2025-12-09/,2025/2025-12-09/DSC08396.ARW,2025-12-09T19:22:57.024,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,5000.0,2.584963,1.1,20,-56,23,-62,15,-11.0,-11.0,11.0,-4,6,,,,-7.0,-32.0,9.0,,-14.0,-2.0,58.0,12.0,-6.0,-9.0,-23.0,,-12.0,-49.0,-52.0,-16.0,8.0,15.0,5.0,6.0,9.0,,1.0,50,0,0,0,,,11,355,15,21,,,0,-1.0,24.0,,63.0,,-12.0,
605265,DSC08395.ARW,2025/2025-12-09/,2025/2025-12-09/DSC08395.ARW,2025-12-09T19:22:56.655,,0.0,ILCE-6700,18-50mm F2.8 DC DN | Contemporary 021,2.970854,18.0,5000.0,2.321928,1.1,18,-57,29,-61,11,-11.0,-11.0,10.0,-6,5,,,-2.0,-7.0,-32.0,9.0,,-14.0,-2.0,58.0,12.0,-6.0,-9.0,-23.0,,-12.0,-48.0,-52.0,-16.0,8.0,15.0,5.0,6.0,10.0,,1.0,50,0,0,0,,,11,6,15,21,,,0,-1.0,24.0,,62.0,,-12.0,
